Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Applying landscape ecological concepts and metrics in sustainable landscape planning,"Leitao, AB; Ahern, J",,,,LANDSCAPE AND URBAN PLANNING,APR 15 2002,2002,59,2,,,,65,93,PII S0169-2046(02)00005-1,,,,610,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,10,9,26,28,27,30,36,25,38,29,31,37,30,41,52,40,32,35,32,7
Morphological and behavioral plasticity of larval anurans in response to different predators,"Relyea, RA",,,,ECOLOGY,FEB 2001,2001,82,2,,,,523,540,,10.1890/0012-9658(2001)082[0523:MABPOL]2.0.CO;2,,,535,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,17,20,17,22,15,19,24,19,28,24,26,34,27,34,31,26,35,24,23,29,20,4
The Global Ecosystem Dynamics Investigation: High-resolution laser ranging of the Earth's forests and topography,"Dubayah, Ralph; Blair, James Bryan; Goetz, Scott; Fatoyinbo, Lola; Hansen, Matthew; Healey, Sean; Hofton, Michelle; Hurtt, George; Kellner, James; Luthcke, Scott; Armston, John; Tang, Hao; Duncanson, Laura; Hancock, Steven; Jantz, Patrick; Marselis, Suzanne; Patterson, Paul L.; Qi, Wenlu; Silva, Carlos",,,,SCIENCE OF REMOTE SENSING,JUN 2020,2020,1,,,,,,,100002,10.1016/j.srs.2020.100002,,,477,95.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,103,144,146,41
Lidar remote sensing for forestry,"Dubayah, RO; Drake, JB",,,,JOURNAL OF FORESTRY,JUN 2000,2000,98,6,,,,44,46,,,,,447,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,10,9,8,14,13,13,24,24,20,23,29,27,32,18,31,28,23,38,20,26,8
THE ROLE OF HABITAT COMPLEXITY AND HETEROGENEITY IN STRUCTURING TROPICAL MAMMAL COMMUNITIES,"AUGUST, PV",,,,ECOLOGY,1983,1983,64,6,,,,1495,1507,,10.2307/1937504,,,321,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,3,4,0,2,4,3,4,4,8,3,6,8,3,8,6,8,6,6,15,7,12,13,16,12,14,15,10,15,16,26,13,18,11,7,5
"Mapping forest structure for wildlife habitat analysis using multi-sensor (LiDAR, SAR/InSAR, ETM plus , Quickbird) synergy","Hyde, Peter; Dubayah, Ralph; Walker, Wayne; Blair, J. Bryan; Hofton, Michelle; Hunsaker, Carolyn",,,,REMOTE SENSING OF ENVIRONMENT,MAY 30 2006,2006,102,1-2,,,,63,73,,10.1016/j.rse.2006.01.021,,,302,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,15,20,23,24,15,18,28,26,19,18,19,19,17,11,10,3
EDGE EFFECTS IN CENTRAL AMAZONIAN FOREST FRAGMENTS,"MALCOLM, JR",,,,ECOLOGY,DEC 1994,1994,75,8,,,,2438,2445,,10.2307/1940897,,,277,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,12,12,14,6,5,16,11,11,18,9,9,12,13,13,12,6,7,14,10,11,6,9,5,6,6,3
"Laser remote sensing of canopy habitat heterogeneity as a predictor of bird species richness in an eastern temperate forest, USA","Goetz, Scott; Steinberg, Daniel; Dubayah, Ralph; Blair, Bryan",,,,REMOTE SENSING OF ENVIRONMENT,JUN 15 2007,2007,108,3,,,,254,263,,10.1016/j.rse.2006.11.016,,,266,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,18,16,11,25,19,25,17,22,19,16,19,10,15,2
Characterizing vertical forest structure using small-footprint airborne LiDAR,"Zimble, DA; Evans, DL; Carlson, GC; Parker, RC; Grado, SC; Gerard, PD",,,,REMOTE SENSING OF ENVIRONMENT,OCT 15 2003,2003,87,2-3,,,,171,182,,10.1016/S0034-4257(03)00139-1,,,240,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,8,8,16,17,11,11,20,14,17,18,14,15,17,9,11,15,0
Advances in animal ecology from 3D-LiDAR ecosystem mapping,"Davies, Andrew B.; Asner, Gregory P.",,,,TRENDS IN ECOLOGY & EVOLUTION,DEC 2014,2014,29,12,,,,681,691,,10.1016/j.tree.2014.10.005,,,233,21.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,18,23,25,29,32,32,38,11
